Category: All categories

Month,couture: (United States)
2004-01,29
2004-02,26
2004-03,25
2004-04,22
2004-05,22
2004-06,22
2004-07,27
2004-08,29
2004-09,25
2004-10,25
2004-11,30
2004-12,37
2005-01,34
2005-02,33
2005-03,32
2005-04,39
2005-05,30
2005-06,27
2005-07,28
2005-08,27
2005-09,26
2005-10,26
2005-11,31
2005-12,35
2006-01,32
2006-02,37
2006-03,28
2006-04,28
2006-05,28
2006-06,26
2006-07,32
2006-08,30
2006-09,33
2006-10,32
2006-11,41
2006-12,50
2007-01,44
2007-02,43
2007-03,49
2007-04,41
2007-05,41
2007-06,41
2007-07,46
2007-08,51
2007-09,41
2007-10,48
2007-11,55
2007-12,68
2008-01,52
2008-02,49
2008-03,48
2008-04,43
2008-05,45
2008-06,48
2008-07,48
2008-08,46
2008-09,50
2008-10,49
2008-11,100
2008-12,73
2009-01,55
2009-02,53
2009-03,50
2009-04,47
2009-05,48
2009-06,45
2009-07,50
2009-08,55
2009-09,48
2009-10,47
2009-11,64
2009-12,68
2010-01,54
2010-02,60
2010-03,52
2010-04,48
2010-05,48
2010-06,47
2010-07,48
2010-08,65
2010-09,49
2010-10,47
2010-11,62
2010-12,67
2011-01,61
2011-02,63
2011-03,56
2011-04,57
2011-05,61
2011-06,54
2011-07,49
2011-08,50
2011-09,51
2011-10,49
2011-11,61
2011-12,75
2012-01,59
2012-02,59
2012-03,53
2012-04,47
2012-05,48
2012-06,42
2012-07,45
2012-08,43
2012-09,43
2012-10,35
2012-11,49
2012-12,60
2013-01,47
2013-02,47
2013-03,41
2013-04,41
2013-05,38
2013-06,35
2013-07,36
2013-08,36
2013-09,34
2013-10,34
2013-11,40
2013-12,47
2014-01,38
2014-02,36
2014-03,34
2014-04,31
2014-05,32
2014-06,30
2014-07,30
2014-08,29
2014-09,31
2014-10,25
2014-11,27
2014-12,33
2015-01,27
2015-02,25
2015-03,25
2015-04,22
2015-05,23
2015-06,22
2015-07,22
2015-08,23
2015-09,22
2015-10,21
2015-11,23
2015-12,25
2016-01,24
2016-02,25
2016-03,22
2016-04,23
2016-05,22
2016-06,23
2016-07,22
2016-08,20
2016-09,20
2016-10,20
2016-11,22
2016-12,23
2017-01,24
2017-02,23
2017-03,21
2017-04,23
2017-05,20
2017-06,19
2017-07,21
2017-08,19
2017-09,19
2017-10,19
2017-11,22
2017-12,23
2018-01,21
2018-02,21
2018-03,21
2018-04,20
2018-05,19
2018-06,18
2018-07,19
2018-08,19
2018-09,18
2018-10,18
2018-11,20
2018-12,22
2019-01,20
2019-02,20
2019-03,19
2019-04,18
2019-05,19
2019-06,17
2019-07,17
2019-08,17
2019-09,17
2019-10,20
2019-11,20
2019-12,21
2020-01,19
2020-02,18
2020-03,14
2020-04,16
2020-05,16
2020-06,15
2020-07,17
2020-08,17
2020-09,17
2020-10,17
2020-11,18
2020-12,21
2021-01,18
2021-02,18
2021-03,18
2021-04,19
2021-05,18
2021-06,21
2021-07,21
2021-08,23
2021-09,23
2021-10,25
2021-11,26
2021-12,28
2022-01,25
2022-02,25
2022-03,23
2022-04,19
2022-05,20
2022-06,19
2022-07,22
2022-08,20
2022-09,19
2022-10,21
2022-11,23
2022-12,26
2023-01,23
2023-02,21
2023-03,20
2023-04,17
2023-05,17
2023-06,17
2023-07,18
2023-08,18
2023-09,21
2023-10,20
2023-11,24
2023-12,26
2024-01,22
2024-02,21
2024-03,21
2024-04,21
2024-05,21
2024-06,18
2024-07,18
2024-08,20
2024-09,20
2024-10,22
2024-11,27
2024-12,31
2025-01,24
2025-02,22
2025-03,22
2025-04,21
2025-05,19
2025-06,18
2025-07,22
2025-08,20
2025-09,19
2025-10,22
2025-11,29
2025-12,33
2026-01,28
2026-02,26
