Category: All categories

Month,discount fashion: (United States)
2004-01,37
2004-02,27
2004-03,31
2004-04,22
2004-05,29
2004-06,29
2004-07,18
2004-08,26
2004-09,32
2004-10,28
2004-11,34
2004-12,28
2005-01,24
2005-02,22
2005-03,25
2005-04,24
2005-05,25
2005-06,22
2005-07,25
2005-08,20
2005-09,24
2005-10,23
2005-11,25
2005-12,20
2006-01,21
2006-02,23
2006-03,23
2006-04,24
2006-05,18
2006-06,14
2006-07,21
2006-08,24
2006-09,22
2006-10,25
2006-11,19
2006-12,20
2007-01,22
2007-02,18
2007-03,19
2007-04,16
2007-05,20
2007-06,17
2007-07,23
2007-08,24
2007-09,24
2007-10,24
2007-11,22
2007-12,28
2008-01,20
2008-02,24
2008-03,24
2008-04,20
2008-05,19
2008-06,21
2008-07,16
2008-08,23
2008-09,21
2008-10,19
2008-11,23
2008-12,20
2009-01,13
2009-02,22
2009-03,21
2009-04,16
2009-05,20
2009-06,18
2009-07,15
2009-08,19
2009-09,19
2009-10,20
2009-11,18
2009-12,19
2010-01,19
2010-02,17
2010-03,18
2010-04,17
2010-05,17
2010-06,14
2010-07,11
2010-08,16
2010-09,17
2010-10,17
2010-11,15
2010-12,15
2011-01,14
2011-02,17
2011-03,16
2011-04,15
2011-05,16
2011-06,13
2011-07,17
2011-08,17
2011-09,17
2011-10,15
2011-11,16
2011-12,18
2012-01,14
2012-02,16
2012-03,16
2012-04,17
2012-05,15
2012-06,15
2012-07,17
2012-08,15
2012-09,17
2012-10,15
2012-11,16
2012-12,17
2013-01,13
2013-02,16
2013-03,15
2013-04,15
2013-05,14
2013-06,15
2013-07,15
2013-08,17
2013-09,14
2013-10,16
2013-11,15
2013-12,16
2014-01,15
2014-02,16
2014-03,19
2014-04,16
2014-05,17
2014-06,18
2014-07,18
2014-08,18
2014-09,16
2014-10,16
2014-11,17
2014-12,17
2015-01,14
2015-02,17
2015-03,15
2015-04,14
2015-05,13
2015-06,15
2015-07,16
2015-08,17
2015-09,15
2015-10,17
2015-11,16
2015-12,17
2016-01,20
2016-02,21
2016-03,20
2016-04,23
2016-05,22
2016-06,29
2016-07,23
2016-08,26
2016-09,24
2016-10,30
2016-11,28
2016-12,24
2017-01,31
2017-02,35
2017-03,31
2017-04,32
2017-05,33
2017-06,40
2017-07,42
2017-08,35
2017-09,42
2017-10,52
2017-11,45
2017-12,43
2018-01,44
2018-02,45
2018-03,43
2018-04,39
2018-05,40
2018-06,54
2018-07,44
2018-08,61
2018-09,61
2018-10,73
2018-11,89
2018-12,59
2019-01,77
2019-02,52
2019-03,54
2019-04,64
2019-05,72
2019-06,61
2019-07,49
2019-08,70
2019-09,63
2019-10,71
2019-11,63
2019-12,46
2020-01,61
2020-02,52
2020-03,31
2020-04,28
2020-05,40
2020-06,40
2020-07,48
2020-08,52
2020-09,73
2020-10,72
2020-11,59
2020-12,48
2021-01,56
2021-02,38
2021-03,47
2021-04,46
2021-05,37
2021-06,32
2021-07,46
2021-08,74
2021-09,52
2021-10,76
2021-11,93
2021-12,61
2022-01,57
2022-02,59
2022-03,66
2022-04,63
2022-05,66
2022-06,58
2022-07,60
2022-08,30
2022-09,33
2022-10,44
2022-11,56
2022-12,64
2023-01,41
2023-02,55
2023-03,63
2023-04,65
2023-05,76
2023-06,70
2023-07,59
2023-08,59
2023-09,72
2023-10,89
2023-11,100
2023-12,72
2024-01,50
2024-02,53
2024-03,44
2024-04,40
2024-05,56
2024-06,48
2024-07,55
2024-08,54
2024-09,35
2024-10,64
2024-11,70
2024-12,39
2025-01,38
2025-02,46
2025-03,45
2025-04,49
2025-05,65
2025-06,60
2025-07,79
2025-08,76
2025-09,58
2025-10,64
2025-11,92
2025-12,91
2026-01,82
2026-02,72
