Category: All categories

Month,fast fashion: (United States)
2004-01,9
2004-02,0
2004-03,0
2004-04,0
2004-05,10
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,7
2004-11,0
2004-12,0
2005-01,0
2005-02,7
2005-03,5
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,6
2006-03,4
2006-04,4
2006-05,6
2006-06,5
2006-07,4
2006-08,4
2006-09,0
2006-10,5
2006-11,3
2006-12,4
2007-01,0
2007-02,5
2007-03,4
2007-04,4
2007-05,4
2007-06,4
2007-07,3
2007-08,5
2007-09,5
2007-10,3
2007-11,4
2007-12,4
2008-01,6
2008-02,5
2008-03,6
2008-04,5
2008-05,5
2008-06,6
2008-07,3
2008-08,5
2008-09,4
2008-10,6
2008-11,5
2008-12,8
2009-01,5
2009-02,5
2009-03,7
2009-04,6
2009-05,7
2009-06,4
2009-07,5
2009-08,7
2009-09,8
2009-10,7
2009-11,6
2009-12,6
2010-01,7
2010-02,7
2010-03,7
2010-04,7
2010-05,6
2010-06,6
2010-07,6
2010-08,7
2010-09,7
2010-10,8
2010-11,8
2010-12,9
2011-01,8
2011-02,8
2011-03,8
2011-04,10
2011-05,9
2011-06,11
2011-07,12
2011-08,10
2011-09,10
2011-10,9
2011-11,11
2011-12,11
2012-01,12
2012-02,11
2012-03,12
2012-04,11
2012-05,10
2012-06,10
2012-07,9
2012-08,10
2012-09,10
2012-10,9
2012-11,11
2012-12,9
2013-01,11
2013-02,11
2013-03,11
2013-04,10
2013-05,12
2013-06,9
2013-07,9
2013-08,10
2013-09,8
2013-10,10
2013-11,8
2013-12,9
2014-01,9
2014-02,9
2014-03,10
2014-04,9
2014-05,9
2014-06,8
2014-07,7
2014-08,6
2014-09,9
2014-10,8
2014-11,8
2014-12,7
2015-01,7
2015-02,8
2015-03,9
2015-04,14
2015-05,11
2015-06,9
2015-07,8
2015-08,11
2015-09,10
2015-10,11
2015-11,12
2015-12,10
2016-01,10
2016-02,13
2016-03,13
2016-04,15
2016-05,12
2016-06,10
2016-07,11
2016-08,9
2016-09,12
2016-10,13
2016-11,14
2016-12,13
2017-01,14
2017-02,18
2017-03,14
2017-04,20
2017-05,16
2017-06,13
2017-07,13
2017-08,13
2017-09,17
2017-10,17
2017-11,18
2017-12,14
2018-01,15
2018-02,18
2018-03,19
2018-04,20
2018-05,18
2018-06,14
2018-07,15
2018-08,16
2018-09,19
2018-10,22
2018-11,23
2018-12,21
2019-01,21
2019-02,28
2019-03,27
2019-04,30
2019-05,29
2019-06,20
2019-07,21
2019-08,24
2019-09,31
2019-10,35
2019-11,36
2019-12,35
2020-01,33
2020-02,37
2020-03,28
2020-04,37
2020-05,36
2020-06,35
2020-07,57
2020-08,41
2020-09,46
2020-10,42
2020-11,41
2020-12,34
2021-01,34
2021-02,38
2021-03,38
2021-04,43
2021-05,38
2021-06,32
2021-07,33
2021-08,41
2021-09,42
2021-10,45
2021-11,52
2021-12,41
2022-01,47
2022-02,55
2022-03,60
2022-04,89
2022-05,63
2022-06,47
2022-07,44
2022-08,40
2022-09,51
2022-10,53
2022-11,68
2022-12,54
2023-01,50
2023-02,65
2023-03,62
2023-04,73
2023-05,64
2023-06,46
2023-07,46
2023-08,38
2023-09,53
2023-10,62
2023-11,63
2023-12,53
2024-01,53
2024-02,61
2024-03,59
2024-04,100
2024-05,74
2024-06,48
2024-07,43
2024-08,47
2024-09,59
2024-10,61
2024-11,67
2024-12,59
2025-01,59
2025-02,68
2025-03,74
2025-04,69
2025-05,64
2025-06,50
2025-07,57
2025-08,54
2025-09,63
2025-10,72
2025-11,83
2025-12,68
2026-01,73
2026-02,72
