Category: All categories

Month,luxury fashion: (United States)
2004-01,9
2004-02,12
2004-03,13
2004-04,0
2004-05,0
2004-06,0
2004-07,9
2004-08,8
2004-09,7
2004-10,10
2004-11,0
2004-12,18
2005-01,12
2005-02,14
2005-03,10
2005-04,14
2005-05,11
2005-06,12
2005-07,8
2005-08,6
2005-09,5
2005-10,11
2005-11,7
2005-12,6
2006-01,8
2006-02,5
2006-03,0
2006-04,7
2006-05,5
2006-06,5
2006-07,7
2006-08,4
2006-09,4
2006-10,6
2006-11,7
2006-12,6
2007-01,5
2007-02,8
2007-03,6
2007-04,7
2007-05,5
2007-06,5
2007-07,6
2007-08,8
2007-09,8
2007-10,6
2007-11,8
2007-12,7
2008-01,6
2008-02,9
2008-03,7
2008-04,7
2008-05,7
2008-06,8
2008-07,7
2008-08,7
2008-09,7
2008-10,7
2008-11,9
2008-12,7
2009-01,7
2009-02,6
2009-03,7
2009-04,6
2009-05,9
2009-06,5
2009-07,6
2009-08,6
2009-09,6
2009-10,7
2009-11,5
2009-12,6
2010-01,5
2010-02,5
2010-03,6
2010-04,6
2010-05,5
2010-06,4
2010-07,6
2010-08,6
2010-09,5
2010-10,6
2010-11,7
2010-12,4
2011-01,5
2011-02,6
2011-03,6
2011-04,5
2011-05,6
2011-06,6
2011-07,5
2011-08,7
2011-09,7
2011-10,6
2011-11,5
2011-12,5
2012-01,6
2012-02,7
2012-03,6
2012-04,9
2012-05,51
2012-06,22
2012-07,20
2012-08,18
2012-09,13
2012-10,11
2012-11,12
2012-12,14
2013-01,18
2013-02,13
2013-03,14
2013-04,12
2013-05,10
2013-06,21
2013-07,14
2013-08,14
2013-09,9
2013-10,9
2013-11,10
2013-12,10
2014-01,9
2014-02,9
2014-03,9
2014-04,9
2014-05,8
2014-06,8
2014-07,8
2014-08,9
2014-09,9
2014-10,8
2014-11,9
2014-12,9
2015-01,9
2015-02,9
2015-03,9
2015-04,9
2015-05,8
2015-06,9
2015-07,10
2015-08,8
2015-09,9
2015-10,9
2015-11,9
2015-12,9
2016-01,11
2016-02,10
2016-03,11
2016-04,10
2016-05,10
2016-06,9
2016-07,9
2016-08,8
2016-09,9
2016-10,10
2016-11,9
2016-12,10
2017-01,11
2017-02,10
2017-03,10
2017-04,11
2017-05,10
2017-06,10
2017-07,11
2017-08,11
2017-09,12
2017-10,13
2017-11,11
2017-12,11
2018-01,10
2018-02,10
2018-03,10
2018-04,10
2018-05,9
2018-06,9
2018-07,10
2018-08,10
2018-09,12
2018-10,10
2018-11,11
2018-12,10
2019-01,11
2019-02,11
2019-03,10
2019-04,12
2019-05,12
2019-06,10
2019-07,10
2019-08,10
2019-09,10
2019-10,11
2019-11,11
2019-12,11
2020-01,11
2020-02,13
2020-03,8
2020-04,11
2020-05,11
2020-06,11
2020-07,12
2020-08,11
2020-09,13
2020-10,11
2020-11,14
2020-12,12
2021-01,15
2021-02,13
2021-03,11
2021-04,14
2021-05,14
2021-06,11
2021-07,11
2021-08,18
2021-09,13
2021-10,13
2021-11,13
2021-12,15
2022-01,23
2022-02,21
2022-03,29
2022-04,26
2022-05,22
2022-06,26
2022-07,24
2022-08,20
2022-09,14
2022-10,19
2022-11,16
2022-12,15
2023-01,17
2023-02,17
2023-03,15
2023-04,15
2023-05,15
2023-06,14
2023-07,14
2023-08,17
2023-09,19
2023-10,16
2023-11,18
2023-12,16
2024-01,19
2024-02,18
2024-03,20
2024-04,23
2024-05,20
2024-06,15
2024-07,28
2024-08,17
2024-09,22
2024-10,20
2024-11,25
2024-12,31
2025-01,22
2025-02,23
2025-03,21
2025-04,22
2025-05,20
2025-06,35
2025-07,55
2025-08,53
2025-09,59
2025-10,52
2025-11,77
2025-12,93
2026-01,100
2026-02,96
